2026-02-26 09:44:25 | ERROR    | app.api.endpoints.skills:execute_skill:178 - [31m技能执行失败: name 'InferenceEngine' is not defined[0m
2026-02-26 15:21:27 | ERROR    | app.api.endpoints.skills:execute_skill:178 - [31m技能执行失败: name 'InferenceEngine' is not defined[0m
2026-02-26 15:23:20 | ERROR    | app.api.endpoints.skills:execute_skill:178 - [31m技能执行失败: name 'InferenceEngine' is not defined[0m
2026-02-26 15:44:05 | ERROR    | app.api.endpoints.skills:execute_skill:178 - [31m技能执行失败: name 'InferenceEngine' is not defined[0m
2026-02-26 16:00:14 | ERROR    | app.api.endpoints.skills:execute_skill:178 - [31m技能执行失败: name 'InferenceEngine' is not defined[0m
2026-02-26 16:48:45 | ERROR    | app.llm_hub.providers.openai:chat:216 - [31mOpenAI 对话请求失败: BadRequestError: Error code: 400 - {'extend_fields': {'traceId': '2150211917720957249627392e0c6c', 'requestId': '3ff0e26abcb570d84698ace1860e9159'}, 'error_code': 400, 'message': "Bad request!: InvalidParameter: <400> InternalError.Algo.InvalidParameter: Input format error in preprocessor: Failed to process messages with tokenizer. Details: 'None' has no attribute 'name', dash_request_id: 9f8fa1ba-b1e4-4a1f-8e33-967774d9d2fc"}[0m
2026-02-26 16:48:45 | ERROR    | app.llm_hub.inference:infer:329 - [31m[req-000002] 推理请求失败: Error code: 400 - {'extend_fields': {'traceId': '2150211917720957249627392e0c6c', 'requestId': '3ff0e26abcb570d84698ace1860e9159'}, 'error_code': 400, 'message': "Bad request!: InvalidParameter: <400> InternalError.Algo.InvalidParameter: Input format error in preprocessor: Failed to process messages with tokenizer. Details: 'None' has no attribute 'name', dash_request_id: 9f8fa1ba-b1e4-4a1f-8e33-967774d9d2fc"}[0m
2026-02-26 16:48:45 | ERROR    | app.agents.execution:_execute_skill:652 - [31m技能 translation 执行失败: Error code: 400 - {'extend_fields': {'traceId': '2150211917720957249627392e0c6c', 'requestId': '3ff0e26abcb570d84698ace1860e9159'}, 'error_code': 400, 'message': "Bad request!: InvalidParameter: <400> InternalError.Algo.InvalidParameter: Input format error in preprocessor: Failed to process messages with tokenizer. Details: 'None' has no attribute 'name', dash_request_id: 9f8fa1ba-b1e4-4a1f-8e33-967774d9d2fc"}[0m
2026-02-26 16:56:50 | ERROR    | app.api.endpoints.skills:execute_skill:187 - [31m技能执行失败: 'NoneType' object has no attribute 'get_stats'[0m
2026-02-26 16:58:13 | ERROR    | app.llm_hub.providers.openai:chat:216 - [31mOpenAI 对话请求失败: BadRequestError: Error code: 400 - {'extend_fields': {'traceId': '212c2b4317720962935117983e0f21', 'requestId': '2215eb11ad88d859af26a68d08e0d8d3'}, 'error_code': 400, 'message': 'Bad request!: InvalidParameter: <400> InternalError.Algo.InvalidParameter: Field required: parameters.tools.0.type & Field required: parameters.tools.1.type & Field required: parameters.tools.2.type & Field required: parameters.tools.3.type & Field required: parameters.tools.4.type & Field required: parameters.tools.5.type & Field required: parameters.tools.6.type & Field required: parameters.tools.7.type, dash_request_id: 3247be04-9481-4db5-af17-2f17be280fe3'}[0m
2026-02-26 16:58:13 | ERROR    | app.llm_hub.inference:infer:328 - [31m[req-000001] 推理请求失败: Error code: 400 - {'extend_fields': {'traceId': '212c2b4317720962935117983e0f21', 'requestId': '2215eb11ad88d859af26a68d08e0d8d3'}, 'error_code': 400, 'message': 'Bad request!: InvalidParameter: <400> InternalError.Algo.InvalidParameter: Field required: parameters.tools.0.type & Field required: parameters.tools.1.type & Field required: parameters.tools.2.type & Field required: parameters.tools.3.type & Field required: parameters.tools.4.type & Field required: parameters.tools.5.type & Field required: parameters.tools.6.type & Field required: parameters.tools.7.type, dash_request_id: 3247be04-9481-4db5-af17-2f17be280fe3'}[0m
2026-02-26 16:58:13 | ERROR    | app.api.endpoints.skills:execute_skill:187 - [31m技能执行失败: Error code: 400 - {'extend_fields': {'traceId': '212c2b4317720962935117983e0f21', 'requestId': '2215eb11ad88d859af26a68d08e0d8d3'}, 'error_code': 400, 'message': 'Bad request!: InvalidParameter: <400> InternalError.Algo.InvalidParameter: Field required: parameters.tools.0.type & Field required: parameters.tools.1.type & Field required: parameters.tools.2.type & Field required: parameters.tools.3.type & Field required: parameters.tools.4.type & Field required: parameters.tools.5.type & Field required: parameters.tools.6.type & Field required: parameters.tools.7.type, dash_request_id: 3247be04-9481-4db5-af17-2f17be280fe3'}[0m
2026-02-26 17:00:22 | ERROR    | app.llm_hub.providers.openai:chat:216 - [31mOpenAI 对话请求失败: BadRequestError: Error code: 400 - {'extend_fields': {'traceId': '212c393517720964218337946e0eb3', 'requestId': '5a48be19b0c16e0e0cd3c614f12944bd'}, 'error_code': 400, 'message': 'Bad request!: InvalidParameter: <400> InternalError.Algo.InvalidParameter: Field required: parameters.tools.0.type & Field required: parameters.tools.1.type & Field required: parameters.tools.2.type & Field required: parameters.tools.3.type & Field required: parameters.tools.4.type & Field required: parameters.tools.5.type & Field required: parameters.tools.6.type & Field required: parameters.tools.7.type, dash_request_id: 157c024b-24de-4753-907e-ce3f7ab78d28'}[0m
2026-02-26 17:00:22 | ERROR    | app.llm_hub.inference:infer:328 - [31m[req-000001] 推理请求失败: Error code: 400 - {'extend_fields': {'traceId': '212c393517720964218337946e0eb3', 'requestId': '5a48be19b0c16e0e0cd3c614f12944bd'}, 'error_code': 400, 'message': 'Bad request!: InvalidParameter: <400> InternalError.Algo.InvalidParameter: Field required: parameters.tools.0.type & Field required: parameters.tools.1.type & Field required: parameters.tools.2.type & Field required: parameters.tools.3.type & Field required: parameters.tools.4.type & Field required: parameters.tools.5.type & Field required: parameters.tools.6.type & Field required: parameters.tools.7.type, dash_request_id: 157c024b-24de-4753-907e-ce3f7ab78d28'}[0m
2026-02-26 17:00:22 | ERROR    | app.api.endpoints.skills:execute_skill:188 - [31m技能执行失败: Error code: 400 - {'extend_fields': {'traceId': '212c393517720964218337946e0eb3', 'requestId': '5a48be19b0c16e0e0cd3c614f12944bd'}, 'error_code': 400, 'message': 'Bad request!: InvalidParameter: <400> InternalError.Algo.InvalidParameter: Field required: parameters.tools.0.type & Field required: parameters.tools.1.type & Field required: parameters.tools.2.type & Field required: parameters.tools.3.type & Field required: parameters.tools.4.type & Field required: parameters.tools.5.type & Field required: parameters.tools.6.type & Field required: parameters.tools.7.type, dash_request_id: 157c024b-24de-4753-907e-ce3f7ab78d28'}[0m
2026-02-26 17:01:47 | ERROR    | app.llm_hub.providers.openai:chat:216 - [31mOpenAI 对话请求失败: TypeError: Object of type SearchTool is not JSON serializable[0m
2026-02-26 17:01:47 | ERROR    | app.llm_hub.inference:infer:328 - [31m[req-000001] 推理请求失败: Object of type SearchTool is not JSON serializable[0m
2026-02-26 17:01:47 | ERROR    | app.api.endpoints.skills:execute_skill:188 - [31m技能执行失败: Object of type SearchTool is not JSON serializable[0m
2026-02-26 17:02:12 | ERROR    | app.llm_hub.providers.openai:chat:216 - [31mOpenAI 对话请求失败: BadRequestError: Error code: 400 - {'extend_fields': {'traceId': '21087b6617720965323372089e0ef2', 'requestId': '11dd87211c152619b82c6fc7830c7f08'}, 'error_code': 400, 'message': 'Bad request!: InvalidParameter: <400> InternalError.Algo.InvalidParameter: Field required: parameters.tools.0.type & Field required: parameters.tools.1.type & Field required: parameters.tools.2.type & Field required: parameters.tools.3.type & Field required: parameters.tools.4.type & Field required: parameters.tools.5.type & Field required: parameters.tools.6.type & Field required: parameters.tools.7.type, dash_request_id: ab1b83b9-6c46-4a19-b381-ff8319c2ee8a'}[0m
2026-02-26 17:02:12 | ERROR    | app.llm_hub.inference:infer:328 - [31m[req-000001] 推理请求失败: Error code: 400 - {'extend_fields': {'traceId': '21087b6617720965323372089e0ef2', 'requestId': '11dd87211c152619b82c6fc7830c7f08'}, 'error_code': 400, 'message': 'Bad request!: InvalidParameter: <400> InternalError.Algo.InvalidParameter: Field required: parameters.tools.0.type & Field required: parameters.tools.1.type & Field required: parameters.tools.2.type & Field required: parameters.tools.3.type & Field required: parameters.tools.4.type & Field required: parameters.tools.5.type & Field required: parameters.tools.6.type & Field required: parameters.tools.7.type, dash_request_id: ab1b83b9-6c46-4a19-b381-ff8319c2ee8a'}[0m
2026-02-26 17:02:12 | ERROR    | app.api.endpoints.skills:execute_skill:188 - [31m技能执行失败: Error code: 400 - {'extend_fields': {'traceId': '21087b6617720965323372089e0ef2', 'requestId': '11dd87211c152619b82c6fc7830c7f08'}, 'error_code': 400, 'message': 'Bad request!: InvalidParameter: <400> InternalError.Algo.InvalidParameter: Field required: parameters.tools.0.type & Field required: parameters.tools.1.type & Field required: parameters.tools.2.type & Field required: parameters.tools.3.type & Field required: parameters.tools.4.type & Field required: parameters.tools.5.type & Field required: parameters.tools.6.type & Field required: parameters.tools.7.type, dash_request_id: ab1b83b9-6c46-4a19-b381-ff8319c2ee8a'}[0m
2026-02-26 17:22:15 | ERROR    | app.api.endpoints.skills:execute_skill:188 - [31m技能执行失败: 'framework'[0m
2026-02-26 17:25:53 | ERROR    | app.api.endpoints.skills:execute_skill:197 - [31m技能执行失败: ToolCallingGateway.register_tool() missing 2 required positional arguments: 'tool_instance' and 'schema'[0m
2026-02-26 17:26:41 | ERROR    | app.api.endpoints.skills:execute_skill:197 - [31m技能执行失败: ToolCallingGateway.register_tool() missing 2 required positional arguments: 'tool_instance' and 'schema'[0m
2026-02-26 17:26:52 | ERROR    | app.api.endpoints.skills:execute_skill:197 - [31m技能执行失败: ToolCallingGateway.register_tool() missing 2 required positional arguments: 'tool_instance' and 'schema'[0m
2026-02-26 17:27:14 | ERROR    | app.api.endpoints.skills:execute_skill:197 - [31m技能执行失败: ToolCallingGateway.register_tool() missing 2 required positional arguments: 'tool_instance' and 'schema'[0m
2026-02-26 17:28:59 | ERROR    | app.api.endpoints.skills:execute_skill:197 - [31m技能执行失败: ToolCallingGateway.register_tool() missing 2 required positional arguments: 'tool_instance' and 'schema'[0m
