2026-02-21 09:13:41 | ERROR    | app.api.endpoints.agents:get_agent:227 - [31mAgent 不存在: nonexistent_agent_id[0m
2026-02-21 09:19:24 | ERROR    | app.api.endpoints.agents:get_agent:227 - [31mAgent 不存在: nonexistent_agent_id[0m
2026-02-21 09:21:43 | ERROR    | app.api.endpoints.agents:get_agent:249 - [31mAgent 不存在: nonexistent_agent_id[0m
2026-02-21 09:23:59 | ERROR    | app.api.endpoints.agents:get_agent:249 - [31mAgent 不存在: nonexistent_agent_id[0m
2026-02-21 09:24:03 | ERROR    | app.agents.planning:_parse_plan:317 - [31mJSON 解析失败: Expecting property name enclosed in double quotes: line 1 column 2 (char 1)[0m
2026-02-21 09:24:03 | ERROR    | app.agents.planning:_parse_plan:318 - [31mLLM 输出: {'id': None, 'choices': None, 'created': None, 'model': None, 'object': None, 'service_tier': None, 'system_fingerprint': None, 'usage': None, 'status': '439', 'msg': '「Your API Token has expired. API...[0m
2026-02-21 09:24:03 | ERROR    | app.agents.reflection:_parse_reflection:241 - [31mJSON 解析失败: Expecting property name enclosed in double quotes: line 1 column 2 (char 1)[0m
2026-02-21 09:24:03 | ERROR    | app.agents.reflection:_parse_reflection:242 - [31mLLM 输出: {'id': None, 'choices': None, 'created': None, 'model': None, 'object': None, 'service_tier': None, 'system_fingerprint': None, 'usage': None, 'status': '439', 'msg': '「Your API Token has expired. API...[0m
2026-02-21 09:24:03 | ERROR    | app.agents.planning:_parse_plan:317 - [31mJSON 解析失败: Expecting property name enclosed in double quotes: line 1 column 2 (char 1)[0m
2026-02-21 09:24:03 | ERROR    | app.agents.planning:_parse_plan:318 - [31mLLM 输出: {'id': None, 'choices': None, 'created': None, 'model': None, 'object': None, 'service_tier': None, 'system_fingerprint': None, 'usage': None, 'status': '439', 'msg': '「Your API Token has expired. API...[0m
2026-02-21 09:24:03 | ERROR    | app.agents.reflection:_parse_reflection:241 - [31mJSON 解析失败: Expecting property name enclosed in double quotes: line 1 column 2 (char 1)[0m
2026-02-21 09:24:03 | ERROR    | app.agents.reflection:_parse_reflection:242 - [31mLLM 输出: {'id': None, 'choices': None, 'created': None, 'model': None, 'object': None, 'service_tier': None, 'system_fingerprint': None, 'usage': None, 'status': '439', 'msg': '「Your API Token has expired. API...[0m
2026-02-21 09:24:03 | ERROR    | app.agents.planning:_parse_plan:317 - [31mJSON 解析失败: Expecting property name enclosed in double quotes: line 1 column 2 (char 1)[0m
2026-02-21 09:24:03 | ERROR    | app.agents.planning:_parse_plan:318 - [31mLLM 输出: {'id': None, 'choices': None, 'created': None, 'model': None, 'object': None, 'service_tier': None, 'system_fingerprint': None, 'usage': None, 'status': '439', 'msg': '「Your API Token has expired. API...[0m
2026-02-21 09:24:03 | ERROR    | app.agents.reflection:_parse_reflection:241 - [31mJSON 解析失败: Expecting property name enclosed in double quotes: line 1 column 2 (char 1)[0m
2026-02-21 09:24:03 | ERROR    | app.agents.reflection:_parse_reflection:242 - [31mLLM 输出: {'id': None, 'choices': None, 'created': None, 'model': None, 'object': None, 'service_tier': None, 'system_fingerprint': None, 'usage': None, 'status': '439', 'msg': '「Your API Token has expired. API...[0m
